NO2/NO3 is in æmol L^-1																											
PO4is in  æmol L^-1																											
SiO4 is in æmol L^-1																											
NH4 is in æmol L^-1																											
Chla is in mg m^-3																											
POC is in æmol L^-1																											
PON is in æmol L^-1																											
POP  is in æmol L^-1																											
d18O is in ?																											
d15N is in ?																											
quality flags: 2= good, 3=suspected bad, 4= known bad, 9= no data																											
																											
Sample_no	Date	Profile	Latitude	Longitude	Niskin	Depth_nominal	Depth_btl	NO2/NO3	Nox_qlty	PO4	PO4_qlty	SiO4	SiO_qlty	NH4	NH4_qlty	Chla	Chla_qlty	POC	POC_qlty	PON	PON_qlty	POP	POP_qlty	d18O	d18O_qlty	d15N	d15N_qlty
1	20121024	2	17.6065	-24.2497	6	3000	2997.5	25.23632765	2	1.540008007	2	27.55303248	2	0.808486378	4	0.004520187	2	9.182052702	3	1.029763762	3	0.026807418	2	2.1280258	3	5.236709	3
2	20121024	2	17.6065	-24.2497	8	1500	1496.7	28.33272203	2	1.708493543	2	17.87421393	2	0.480228643	4	0.005764027	2	13.96750562	3	1.458081777	3	0.033879925	2	2.121781	3	4.8048892	3
3	20121024	2	17.6065	-24.2497	9	1000	999.6	32.995033	2	2.016257052	2	17.23878581	2	0.648204825	4	0.011510027	2	10.64532782	3	1.084619424	3	0.028379086	2	2.1269139	3	5.0694254	3
4	20121024	2	17.6065	-24.2497	11	450	449	34.98678489	2	1.944564906	2	10.53496087	2	0.904541999	4	0.005655867	2	15.24538157	3	1.686729871	3	0.031915339	2	2.3859866	3	4.3293222	3
5	20121024	2	17.6065	-24.2497	12	350	346.9	32.36394402	2	1.798134726	2	8.531401517	2	0.688682234	4	0.010198587	2	18.84784084	3	1.603699975	3	0.035058676	2	2.7506898	3	4.2456804	3
6	20121024	2	17.6065	-24.2497	13	250	246.4	20.63298785	2	1.138689012	2	4.905292041	2	0.759164391	4	0.005250267	2	18.09907748	3	1.984627048	3	0.036630344	2	2.692871	3	4.7728772	3
7	20121024	2	17.6065	-24.2497	14	180	176.8	14.58718572	2	0.815722713	2	3.375795876	2	0.664729744	4	0.011645227	2	NaN	9	NaN	9	NaN	9	4.0983126	3	4.1265542	3
8	20121024	2	17.6065	-24.2497	15	150	147	11.82040117	2	0.733118853	2	2.37988006	2	0.31154394	4	0.006669867	2	11.71715104	2	1.203288272	2	0.032308256	2	5.0523228	3	2.0785974	3
9	20121024	2	17.6065	-24.2497	16	120	117.2	14.55591	2	0.910415588	2	2.616936247	2	0.54427841	4	0.011428907	2	10.98438918	2	1.24304232	2	0.038987846	2	3.2877375	3	1.2295064	3
10	20121024	2	17.6065	-24.2497	17	100	97.5	13.36481166	2	0.87819477	2	2.293637567	2	0.354780795	4	0.092562427	2	10.59962117	2	1.24553056	2	0.024842833	2	2.6105904	3	2.0076286	3
11	20121024	2	17.6065	-24.2497	18	80	77.9	9.598191635	2	0.698804125	2	1.817483761	2	0.545498601	4	0.208820907	2	7.658555797	2	0.828218129	2	0.037416178	2	3.9682203	3	2.6590208	3
